John Barleycorn		853	1104				903		1204		1706	2008		1605			9383	1
Knotted Wood Block			125			700			200		550				100		1675	1
Lady's Slipper							785	320	1500	150							2755	1
Lamb of Tartary					1900		675					2300		3400			8275	2
Last Wish-Bone			1500	2500			3000						2000				9000	1
Les Fleurs du Mal		1550	775	1240					1240			775	2067		1550		9197	3
Little Jack Horner's Thumbnail			2425										3250		750	1475	7900	1
Liverwort						2500	4250					2500					9250	7
Lover's Locket		2200	1250	1500						1500	1500		1050			600	9600	6
Lumberwood Bonsai				1500	1000		1500	1000				1000			1500		7500	8
Lumberwood Figurine		340	190	340	275	640			350								2135	2
Majestic Acorn		250		350	300	450	700		550			300	400				3300	3
Majestic Tail-Feather of Turkey		2000		1500								950	1200	1750			7400	1
Malevolent Pillow		4000	1500											4000		2500	12000	3
Maple Mustache Masque		150	50		200			200	130		75			200			1005	1
Mayapple		230		250			710					1425			270		2885	1
Medusa Head Jellyfish			1500	2400								2300			1500	650	8350	1
Mineralogical Survey				800	800					1750	1200		1200		900		6650	1
Misshapen Lump of Clay		450		850		750				950	1200						4200	1
Monogrammed Pillow		4000	1500	2500								1500		4000		750	14250	3
New World Gourd					300		900	420				1000	800		550		3970	1
Nine Men's Morris		750	250	650		1250				850		450					4200	4
Oak Duff							200		185		175	135					695	1
Oakum			1350			650			1600						800	350	4750	3
Opera Masque		1200	850	750					550					1200			4550	1
Painted Feathers		1250	2200	800												1200	5450	4
Partially Deformed Caterpillar			160		420					220				310		80	1190	1
Pearl		1350		1650					1200						2100		6300	5
Pectin Prison		265					415		1650		1310		1400				5040	1
Perfect Autumn Leaf				900	650			550	850				950		750		4650	1
Petrified Wood		2500				2500				4250							9250	7
Peyote Cactus			250					1250				750	1250		900		4400	1
Pilgrim's Bible			1250	2500					1800		1500	1500				850	9400	5
Precious Soot-Flake						400			750	1250	2000				850		5250	1
Pumpkin Head Masque																	0	1
Rainbow Scales					1350		1250				550		850	475	250		4725	4
Rainbow Soap Bubble				2300							3275					1200	6775	1
Rattle Rattler				800	1200			1200				600		1200			5000	1
Red Herring				1400			2000		1300				1750			250	6700	1
Red Rose				1375			650									150	2175	1
Red Trillium						250	655	230	310	1375							2820	1
Rock Maracas		350			250			250		325	250				175		1600	2
Rusty Coin		50							290	170	160				75		745	1
Salamander			3700		2550											1150	7400	1
Salamander Tail					450				350				250			75	1125	1
Sand Dollar				2500	2500				4250								9250	7
Savage Charm			1000	1340	1750				1900							850	6840	1
Scintillating Sand				2500						2500	4250						9250	7
Scorpion										1750			2200		1150	3475	8575	6
Seaweed Masque		800		450			650						450	750	750		3850	1
Shed Skin			2500					2500						4250			9250	7
Shellback Rattle		2500	2250		2850					3100							10700	10
Shooting Star		1325					615						320	290	230		2780	1
Simple Crucifix	3	350		700		400			350							40	1840	2
Singing Old Log			900	1000	2250				1900		2600	1500				400	10550	1
Skybound Butterfly					1775				2635					2100			6510	1
Slim Stickbug						4250		2500			2500						9250	7
Smooth Stone	2	340			440	350		290		375	250				220		2265	1
Snowball			750						1350	1750					850	1440	6140	1
Spiked Tail						3750		4150								1150	9050	10
Spinning Top		650				850								900	250		2650	2
Spooktacular							1750		1250			1000	1550		750		6300	1
Spring Beauty	2		265		1450		665							280	380		3040	1
Square & Compass		1750		1500					2000						2500	1250	9000	8
Steer Skull		725	385		900	825		675		425	550						4485	1
Sterling Geode		500						750		1000					1250		3500	4
Strawman		550		250				100	180			350		400			1830	3
Stray Chestnut					330		250	450	200		320		150				1700	1
Stringy Sinew			350		1500		1050	1500						1300			5700	1
Stuffed Leather Ball		1520		800				1400	780					1900	900		7300	4
Stuffed Marchhare		3140						4770								900	8810	1
Stuffed Rabbit			350	550	550		800	1150						650			4050	3
Sunny Sunflower				850	700		1200					1250	1300		550		5850	1
The Elusive Last Bone		750		750	1250		1250	1250							1500		6750	1
The Golem of Prague		3000	1750	2500					2950		3500					1000	14700	3
The Wicked Wicker Man		2266	1200	2000							1250	2000				1400	10116	1
Tiny Pocketwatch		1500		900					1350	1750						1750	7250	1
Torn Tentacle			4250								2500				2500		9250	7
Traces of the Lost Colony				3000	1500	2000		1500	2500								10500	1
Trout Lily				290	225	275	715	1425									2930	1
Tumbleweed			550	1440	1750							1350			850		5940	1
Turkey Liver					3250				1350				2150				6750	3
Turks Cap					380	1250	775	410									2815	1
Twig N' Berries		375			745	315	715				510				490		3150	2
Unscathed Wood			750			2000			1700		1550	900			1250		8150	1
Vibrant Peat Moss				4250								2500		2500			9250	7
Walking the Beetle									950	1400		450		1450			4250	2
Waxen Candle		1200	1250	1400					1100		3100				550		8600	5
Wee Menagerie			350	1050	1300			1300							900		4900	3
Weighty Wattle							2000					750	1000		1500	500	5750	1
Whispering Snake Skull			5000													2000	7000	1
Wicker Man		775		850							800	750				75	3250	1
Wild Columbine		260		210	230		635						1000				2335	1
Wild Garlic	2	200			550						400	390	450		200		2190	1
Wild Oats					1500							1500	750				3750	1
Windborne Kite		1250		1550					1550					1700	550		6600	5
Wood Choppings	2	250			50	150		75			130						655	1
Wood Knot		1300				2500			1050	1100					800		6750	1
