Enlarged Bear Heart		1250										1650			575	6100	3	1
Etterfang		250										1500		500		3950	1	1
Fine Beaver Teeth		550						900					800	500		5375	1	1
Fishing Diploma																0	1	1
Fishing Trophy	1250											1700		1000		7800	6	1
Five Nations' Dreamcatcher	1600		1250					1800			1000		1500		750	7900	999	1
Flower Arrangement	1245										1475	1620		885		7800	2	1
Foetid Ooze		2150										2000	2800	4500		13500	1	1
Founding Father's Diploma																0	1	1
Four-leaf Clover		1930	450												1420	3800	4	1
Fungus Amungus		350								565					125	2075	4	1
Funny Foam										750	1100					5750	1	1
Game Board		1000			4500			1500						1500	1000	9500	6	1
Garlic Braid	400									800	750	1400	450	300		4100	1	1
Gelatinous Lard										1300		750				3800	1	1
Ghost Rider			1800								2000	1850		1350	450	9600	1	1
Ghost rider masque		1500											1750	1750		7500	1	1
Grass Whistle	250		250					150			175	300				1875	3	1
High Notes of Amber Resin					350								625	2800		7375	1	1
Honeysuckle Kudzu		600										800		650	300	2350	1	1
Hunting Trophy	1550	1000			1500									750		9550	6	1
Iron Pyrite									250000							250000	1	1
Jack-o-Lantern										1300	1500	1750		1150		7050	1	1
Jackalope Antlers											350	750				3550	1	1
Knotted Wood Block		125			700			200		550				100		1675	1	1
Lamb of Tartary											2300		3400			8275	2	1
Last Wish-Bone		1500	2500									2000				9000	1	1
Les Fleurs du Mal	1500	750	1200					1200			750	2000		1500		8900	3	1
Lover's Locket	2200	1250	1500						1500	1500		1050			600	9600	6	1
Lumberwood Bonsai			1500								1000			1500		7500	8	1
Lumberwood Figurine	340	190	340		640			350								2135	2	1
Lä! Lä! Rlyeh Fhtang!		2500	2500											2500	1750	9250	1	1
Majestic Tail-Feather of Turkey	2000		1500								950	1200	1750			7400	1	1
Maple Mustache Masque	150	50						130		75			200			1005	3	1
Medusa Head Jellyfish		1500	2400								2300			1500	650	8350	999	1
Mineralogical Survey			800						1750	1200		1200		900		6650	1	1
Misshapen Lump of Clay	450		850		750				950	1200						4200	1	1
Monogrammed Pillow	4000	1500	2500								1500		4000		750	14250	999	1
New World Gourd											1000	800		550		3970	1	1
Nine Men's Morris	750	250	650		1250				850		450					4200	4	1
Opera Masque	1200	850	750					550					1200			4550	1	1
Painted Feathers	1250	2200	800												1200	5450	2	1
Perfect Autumn Leaf			900					850				950		750		5500	1	1
Peyote Cactus		250									750	1250		900		4400	1	1
Pilgrim's Bible		1250	2500					1800		1500	1500				850	9400	5	1
Pioneering Diploma																0	1	1
Precious Soot-Flake					400			750	1250	2000				850		5250	1	1
Prospector's Diploma																0	1	1
Pumpkin Head Masque																0	1	1
Raggy Doll	1000	250	850									550	1250			3900	3	1
Rainbow Scales										550		850	475	250		4725	4	1
Rainbow Soap Bubble			2300							3275					1200	6775	999	1
Rattle Rattler			800								600		1200			5000	1	1
Red Herring			1400					1300				1750			250	6700	1	1
Red Rose			1500									1500			150	3150	999	1
Redcoat's Diploma																0	1	1
Salamander		3700													1150	7400	1	1
Savage Charm		1000	1340					1900							850	6840	1	1
Seaweed Masque	800		450									450	750	750		3850	999	1
Simple Crucifix	350		700		400			350							40	1840	2	1
Singing Old Log		900	1000					1900		2600	1500				400	10550	1	1
Smooth Stone	340				350				375	250				220		2265	1	2
Spinning Top	650				850								900	250		2650	2	1
Spooktacular								1250			1000	1550		750		6300	1	1
Square & Compass	1750		1500					2000						2500	1250	9000	10	1
Sterling Geode	500								1000					1250		3500	4	1
Strawman	550		250					180			350		400			1830	2	1
Stray Chestnut								200		320		150				1700	1	1
Stringy Sinew		350											1300			5700	1	1
Stuffed Leather Ball	1520		800					780					1900	900		7300	4	1
Stuffed Marchhare	3144														900	8820	1	1
Stuffed Rabbit		350	550										650			4050	3	1
Sunny Sunflower			850								1250	1300		550		5850	1	1
The Elusive Last Bone	750		750											1500		6750	1	1
The Golem of Prague	3000	1750	2500					2950		3500					1000	14700	999	1
The Wicked Wicker Man	2266	1200	2000							1250	2000				1400	10116	1	1
Those Rarefied Thornbush Flowers		3500													3500	7000	5	1
Tiny Pocketwatch	1500		900					1350	1750						1750	7250	1	1
Traces of the Lost Colony			3000		2000			2500								10500	1	1
Tumbleweed		550	1440								1350			850		5940	1	1
Unscathed Wood		750			2000			1700		1550	900			1250		8150	1	1
Walking The Beetle								950	1400		450		1450			4250	2	1
Wee Menagerie		350	1050									230		900		6130	3	1
Weighty Wattle											750	1000		1500	500	5750	999	1
Whispering Snake Skull		5000													2000	7000	999	1
Wicker Man	775		850							800	750				75	3250	1	1
Wild Garlic	200									400	390	450		200		2190	999	1
Wild Oats											1500	750				4950	1	1
Windborne Kite	1250		950					650					1700	550		5100	5	1
Wood Choppings	250				150					130						655	1	2
Wood Knot	1300				2500			1050	1100					800		6750	2	1
